(337, 'Slask Wroclaw', 2021): 0.565	0.323	0.287	0.698	0.594	0.289	0.289	0.712	0.670	0.265	0.463	0.854	0.633	0.407	0.265	0.900	0.554	0.378	0.196	0.739	0.569	0.338	0.280	0.686	0.663	0.081	0.632	0.709	
(3496, 'Warta Poznań', 2021): 0.549	0.312	0.298	0.689	0.550	0.317	0.297	0.707	0.654	0.303	0.400	0.847	0.629	0.383	0.275	0.873	0.542	0.377	0.211	0.786	0.554	0.346	0.265	0.687	0.618	0.079	0.581	0.654	
(554, 'Anderlecht', 2021): 0.629	0.358	0.318	0.788	0.686	0.306	0.345	0.818	0.713	0.330	0.353	0.919	0.672	0.361	0.300	0.909	0.618	0.437	0.161	0.807	0.572	0.565	0.129	0.779	0.767	0.064	0.733	0.796	
(1393, 'Union St. Gilloise', 2021): 0.630	0.310	0.353	0.782	0.653	0.275	0.395	0.768	0.674	0.319	0.408	0.872	0.662	0.436	0.216	0.880	0.601	0.458	0.184	0.799	0.621	0.302	0.331	0.720	0.703	0.090	0.656	0.739	
(348, 'Pogon Szczecin', 2021): 0.599	0.256	0.388	0.720	0.619	0.269	0.362	0.742	0.696	0.340	0.387	0.933	0.615	0.481	0.240	0.861	0.568	0.406	0.196	0.864	0.560	0.403	0.231	0.738	0.720	0.110	0.658	0.764	
(340, 'Gornik Zabrze', 2021): 0.594	0.336	0.321	0.810	0.609	0.348	0.308	0.753	0.655	0.295	0.431	0.917	0.638	0.438	0.246	0.909	0.561	0.393	0.176	0.803	0.545	0.379	0.293	0.701	0.626	0.073	0.595	0.667	
(735, 'St. Truiden', 2021): 0.593	0.339	0.269	0.753	0.598	0.387	0.252	0.742	0.629	0.322	0.344	0.843	0.648	0.402	0.277	0.897	0.588	0.419	0.183	0.826	0.600	0.365	0.284	0.740	0.692	0.061	0.666	0.717	
(631, 'Gent', 2021): 0.668	0.263	0.407	0.795	0.674	0.320	0.344	0.807	0.660	0.332	0.336	0.846	0.679	0.387	0.306	0.928	0.635	0.401	0.207	0.824	0.666	0.223	0.450	0.752	0.722	0.064	0.685	0.747	
(338, 'Wisla Krakow', 2021): 0.566	0.291	0.344	0.726	0.589	0.302	0.343	0.734	0.685	0.283	0.510	0.887	0.625	0.406	0.251	0.858	0.552	0.363	0.209	0.763	0.527	0.458	0.164	0.691	0.638	0.106	0.591	0.687	
(345, 'Zaglebie Lubin', 2021): 0.547	0.347	0.313	0.721	0.572	0.314	0.354	0.716	0.658	0.344	0.376	0.871	0.600	0.452	0.247	0.861	0.528	0.396	0.141	0.744	0.534	0.377	0.278	0.671	0.638	0.051	0.614	0.662	
(89, 'Dijon', 2021): 0.589	0.325	0.335	0.735	0.606	0.298	0.344	0.744	0.644	0.418	0.324	0.852	0.634	0.401	0.255	0.877	0.584	0.363	0.232	0.801	0.590	0.383	0.345	0.755	0.727	0.050	0.703	0.752	
