match_id,country,comp_name,season,home_team,away_team,prediction,odds_yes,odds_no,base_bet,recommended_bet_yes,recommended_bet_no,time_remaining_sec,match_start_datetime_utc,bet_placed,won
1203185,Poland,Ekstraklasa,2024,Jagiellonia,Piast Gliwice,0.5019402503967285,1.6,2.19,100.0,0.0,7.626121985812142,224,2025-04-06 10:15 UTC,7.63,0
1213690,Netherlands,Eredivisie,2024,Waalwijk,Heracles,0.5010812282562256,2.15,1.74,100.0,6.723881804424781,0.0,257,2025-04-06 10:15 UTC,6.72,14.45
1223899,Italy,Serie A,2024,Lecce,Venezia,0.5238450765609741,1.64,2.39,100.0,0.0,9.928796188436825,1192,2025-04-06 10:30 UTC,9.93,0
1238116,Turkey,Süper Lig,2024,Alanyaspor,BB Bodrumspor,0.4629391133785248,1.53,2.32,100.0,0.0,18.63494370922897,1095,2025-04-06 10:30 UTC,18.63,0
1220301,Scotland,Premiership,2024,ST Johnstone,Celtic,0.45294296741485596,2.61,1.48,100.0,11.315599065389694,0.0,2250,2025-04-06 11:00 UTC,11.32,29.55
1226413,Germany,2. Bundesliga,2024,SV Elversberg,SSV Jahn Regensburg,0.4860190749168396,2.23,1.7,100.0,6.814840411752223,0.0,2393,2025-04-06 11:30 UTC,6.81,0
1226415,Germany,2. Bundesliga,2024,1. FC Magdeburg,1. FC Kaiserslautern,0.42055806517601013,2.9,1.43,100.0,11.55886257949628,0.0,2367,2025-04-06 11:30 UTC,11.56,33.52
1208757,Spain,La Liga,2024,Las Palmas,Real Sociedad,0.5132051110267639,1.75,2.18,100.0,0.0,5.187530335733454,734,2025-04-06 12:00 UTC,5.19,11.29
1217872,Spain,Segunda División,2024,Zaragoza,Mirandes,0.4951517879962921,1.53,2.48,100.0,0.0,17.028619308729436,692,2025-04-06 12:00 UTC,17.03,0
1208327,England,Premier League,2024,Fulham,Liverpool,0.4242856502532959,2.07,1.84,100.0,0.0,7.06123851594471,2037,2025-04-06 13:00 UTC,7.06,12.99
1208331,England,Premier League,2024,Tottenham,Southampton,0.4563702940940857,2.87,1.46,100.0,16.565922141712623,0.0,2014,2025-04-06 13:00 UTC,16.57,0
1213995,France,Ligue 1,2024,Lens,Saint Etienne,0.48189467191696167,2.52,1.58,100.0,14.103590344127854,0.0,887,2025-04-06 13:00 UTC,14.1,35.53
1223897,Italy,Serie A,2024,Empoli,Cagliari,0.5375478863716125,1.66,2.35,100.0,0.0,6.426849409385965,1964,2025-04-06 13:00 UTC,6.43,0
1223904,Italy,Serie A,2024,Torino,Verona,0.523622989654541,1.52,2.67,100.0,0.0,16.283030995351826,999,2025-04-06 13:00 UTC,16.28,0
1234941,Italy,Serie B,2024,Catanzaro,Bari,0.5084590911865234,1.68,2.18,100.0,0.0,6.064337390964322,973,2025-04-06 13:00 UTC,6.06,13.25
1238118,Turkey,Süper Lig,2024,Hatayspor,Eyüpspor,0.48336175084114075,2.5,1.46,100.0,13.893625140190125,0.0,915,2025-04-06 13:00 UTC,13.89,34.95
1224226,Germany,Bundesliga,2024,FC St. Pauli,Borussia Mönchengladbach,0.5079572796821594,2.12,1.8,100.0,6.863342225551605,0.0,2048,2025-04-06 13:30 UTC,6.86,14.54
1208760,Spain,La Liga,2024,Sevilla,Atletico Madrid,0.48059412837028503,1.66,2.34,100.0,0.0,16.07535370250246,2679,2025-04-06 14:15 UTC,16.08,37.63
1217866,Spain,Segunda División,2024,Levante,Racing Santander,0.4966495931148529,2.18,1.68,100.0,7.008145168676218,0.0,2643,2025-04-06 14:15 UTC,7.01,0
1231973,Portugal,Primeira Liga,2024,GIL Vicente,Moreirense,0.5279591083526611,1.5,2.67,100.0,0.0,15.589771299305074,2724,2025-04-06 14:30 UTC,15.59,0
1213684,Netherlands,Eredivisie,2024,Ajax,NAC Breda,0.47320011258125305,2.74,1.48,100.0,17.04415565934675,0.0,1866,2025-04-06 14:45 UTC,17.04,0
1361673,Austria,Bundesliga,2024,Austria Vienna,Wolfsberger AC,0.43860769271850586,1.83,1.97,100.0,0.0,10.921942819025098,1567,2025-04-06 15:00 UTC,10.92,0
