comp_name,season,comp_season_id,round_id,match_count,distinct_teams,regular_matches,non_regular_matches,inferred_round_type,first_match_date,last_match_date
Spain Segunda División,2023,9675,100613,462,22,462,0,regular-season round type,2023-08-11T00:00:00+00:00,2024-06-02T00:00:00+00:00
Spain Segunda División,2023,9675,100614,2,2,0,2,non-regular round type,2024-06-16T00:00:00+00:00,2024-06-23T00:00:00+00:00
Spain Segunda División,2023,9675,100615,4,4,0,4,non-regular round type,2024-06-08T00:00:00+00:00,2024-06-13T00:00:00+00:00
Spain Segunda División,2024,12467,110497,462,22,462,0,regular-season round type,2024-08-15T00:00:00+00:00,2025-06-01T00:00:00+00:00
Spain Segunda División,2024,12467,118585,2,2,0,2,non-regular round type,2025-06-15T00:00:00+00:00,2025-06-21T00:00:00+00:00
Switzerland Super League,2023,9580,100248,198,12,198,0,regular-season round type,2023-07-22T00:00:00+00:00,2024-04-21T00:00:00+00:00
Switzerland Super League,2023,9580,100249,15,6,0,15,non-regular round type,2024-05-04T00:00:00+00:00,2024-05-25T00:00:00+00:00
Switzerland Super League,2023,9580,100250,15,6,0,15,non-regular round type,2024-05-04T00:00:00+00:00,2024-05-21T00:00:00+00:00
Switzerland Super League,2024,12326,110027,198,12,198,0,regular-season round type,2024-07-20T00:00:00+00:00,2025-04-21T00:00:00+00:00
Switzerland Super League,2024,12326,110028,15,6,0,15,non-regular round type,2025-05-03T00:00:00+00:00,2025-05-24T00:00:00+00:00
Switzerland Super League,2024,12326,110029,15,6,0,15,non-regular round type,2025-05-03T00:00:00+00:00,2025-05-22T00:00:00+00:00
